	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
0	2021-01-01 04:55:00	4	7.0	0	0	0	0	0	0	10.0
1	2021-01-01 05:15:00	5	3.0	0	0	0	0	0	0	23.0
2	2021-01-01 05:40:00	5	9.0	0	0	0	0	5.0	0	23.0
3	2021-01-01 06:25:00	6	47.0	0	0	0	0	50.0	0	38.0
4	2021-01-01 08:30:00	8	50.0	11.0	75.0	0	0	10.0	0	75.0
5	2021-01-01 11:40:00	11	20.0	8.0	100.0	0	0	40.0	115.0	140.0
6	2021-01-01 14:55:00	14	81.0	10.0	115.0	0	0	10.0	10.0	179.0
7	2021-01-01 19:40:00	19	545.0	43.0	0.0	200.0	40.0	0.0	0.0	200.0
8	2021-01-02 05:00:00	5	40.0	43.0	560.0	200.0	600.0	560.0	560.0	15.0
9	2021-01-02 06:00:00	6	30.0	43.0	620.0	200.0	660.0	620.0	620.0	20.0
10	2021-01-02 06:40:00	6	30.0	43.0	660.0	200.0	700.0	660.0	660.0	10.0
11	2021-01-02 08:45:00	8	45.0	11.0	85.0	200.0	825.0	45.0	45.0	95.0
12	2021-01-02 11:20:00	11	35.0	9.0	75.0	200.0	980.0	50.0	200.0	110.0
13	2021-01-02 14:05:00	14	145.0	9.0	65.0	200.0	1145.0	35.0	365.0	130.0
14	2021-01-02 19:40:00	19	105.0	5.0	15.0	200.0	40.0	30.0	700.0	190.0
15	2021-01-02 21:30:00	21	430.0	44.0	0.0	200.0	150.0	0.0	0.0	5.0
16	2021-01-03 04:45:00	4	115.0	44.0	435.0	200.0	585.0	435.0	435.0	5.0
17	2021-01-03 09:05:00	9	33.0	9.0	115.0	200.0	845.0	10.0	695.0	147.0
18	2021-01-03 11:50:00	11	10.0	9.0	110.0	200.0	1010.0	90.0	860.0	130.0
19	2021-01-03 12:30:00	12	28.0	9.0	150.0	200.0	1050.0	130.0	900.0	30.0
20	2021-01-03 14:40:00	14	95.0	9.0	80.0	200.0	1180.0	20.0	20.0	102.0
21	2021-01-03 16:25:00	16	45.0	9.0	185.0	200.0	1285.0	125.0	125.0	10.0
22	2021-01-03 20:35:00	20	590.0	44.0	0.0	200.0	90.0	0.0	0.0	205.0
23	2021-01-04 08:40:00	8	30.0	13.0	100.0	200.0	815.0	105.0	60.0	135.0
24	2021-01-04 11:25:00	11	30.0	9.0	85.0	200.0	980.0	50.0	225.0	135.0
25	2021-01-04 14:05:00	14	175.0	8.0	70.0	200.0	1140.0	10.0	10.0	130.0
26	2021-01-04 19:50:00	19	615.0	42.0	0.0	200.0	50.0	0.0	0.0	170.0
27	2021-01-05 08:25:00	8	73.0	12.0	90.0	200.0	805.0	90.0	55.0	142.0
28	2021-01-05 11:35:00	11	39.0	8.0	90.0	200.0	995.0	5.0	245.0	118.0
