	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
0	2021-03-01 08:20:00	8	50.0	6.0	145.0	0	0	20.0	0	185.0
1	2021-03-01 11:30:00	11	35.0	3.0	85.0	0	0	210.0	0	140.0
2	2021-03-01 12:15:00	12	103.0	3.0	130.0	0	0	255.0	0	10.0
3	2021-03-01 16:00:00	16	50.0	6.0	105.0	0	0	35.0	0	122.0
7	2021-03-02 08:05:00	8	40.0	7.0	130.0	200.0	765.0	135.0	640.0	145.0
8	2021-03-02 11:50:00	11	80.0	5.0	105.0	200.0	990.0	35.0	865.0	185.0
9	2021-03-02 16:05:00	16	30.0	4.0	120.0	200.0	1245.0	155.0	70.0	175.0
13	2021-03-03 08:25:00	8	80.0	9.0	135.0	200.0	765.0	140.0	635.0	175.0
14	2021-03-03 11:50:00	11	100.0	5.0	95.0	200.0	970.0	10.0	840.0	129.0
15	2021-03-03 16:25:00	16	40.0	6.0	140.0	200.0	1245.0	285.0	1115.0	171.0
18	2021-03-04 08:15:00	8	45.0	5.0	100.0	200.0	740.0	10.0	725.0	135.0
19	2021-03-04 11:35:00	11	40.0	7.0	60.0	200.0	940.0	10.0	925.0	155.0
20	2021-03-04 12:20:00	12	50.0	7.0	105.0	200.0	985.0	55.0	970.0	5.0
21	2021-03-04 17:20:00	17	34.0	4.0	95.0	200.0	1285.0	355.0	1270.0	250.0
23	2021-03-05 08:50:00	8	40.0	6.0	155.0	120.0	5.0	160.0	770.0	165.0
24	2021-03-05 12:10:00	12	90.0	5.0	70.0	120.0	205.0	20.0	20.0	164.0
25	2021-03-05 13:45:00	13	6.0	5.0	165.0	120.0	300.0	115.0	115.0	3.0
26	2021-03-05 15:45:00	15	90.0	5.0	285.0	120.0	45.0	30.0	235.0	112.0
29	2021-03-06 06:05:00	6	10.0	17.0	585.0	200.0	610.0	585.0	585.0	5.0
30	2021-03-06 09:05:00	9	45.0	6.0	155.0	120.0	15.0	5.0	765.0	170.0
31	2021-03-06 12:15:00	12	10.0	7.0	65.0	120.0	205.0	35.0	955.0	145.0
32	2021-03-06 12:55:00	12	50.0	7.0	105.0	120.0	245.0	75.0	995.0	30.0
33	2021-03-06 13:50:00	13	35.0	7.0	160.0	120.0	300.0	130.0	1050.0	5.0
